Ниша,Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽"
Стаканчики и рожки,"Пломбир Коровка из Кореновки стаканчик 15%, 100г","Цена89,99 ₽",100 гр,4.96,17864 оценки,https://www.perekrestok.ru/cat/321/p/plombir-korovka-iz-korenovki-stakancik-15-100g-3371923,
Стаканчики и рожки,"Пломбир Коровка из Кореновки шоколадный стаканчик, 100г","Цена89,99 ₽",100 мл,4.96,14947 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-sokoladnyj-stakancik-100g-3409340,
Стаканчики и рожки,"Пломбир Коровка из Кореновки крем-брюле стаканчик, 100г","Цена89,99 ₽",100 гр,4.95,13031 оценка,https://www.perekrestok.ru/cat/321/p/plombir-korovka-iz-korenovki-krem-brule-stakancik-100g-3409339,
Стаканчики и рожки,"Пломбир Коровка из Кореновки с шоколадной крошкой 15%, 80г","Цена99,99 ₽",80 гр,4.95,5397 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-s-sokoladnoj-kroskoj-15-80g-4153779,
Стаканчики и рожки,"Мороженое сливочное Sunreme малина-банан рожок в глазури 8%, 78г","Цена79,99 ₽",120 мл,4.91,7091 оценка,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-sunreme-malina-banan-rozok-v-glazuri-8-78g-4239014,
Стаканчики и рожки,"Пломбир Вологодский Пломбир стаканчик 15%, 100г","Цена98,99 ₽",100 гр,4.92,6158 оценок,https://www.perekrestok.ru/cat/321/p/plombir-vologodskij-plombir-stakancik-15-100g-3603591,
Стаканчики и рожки,"Мороженое пломбир ванильный в вафельном стаканчике 12% Молочный Знак, 70г","Цена51,99 ₽",70 гр,4.84,1869 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-vanilnyj-v-vafelnom-stakancike-12-molocnyj-znak-70g-4408525,
Стаканчики и рожки,"Пломбир Чистая Линия ванильный в шоколадной глазури рожок 12%, 70г","Цена139,99 ₽",70 гр,4.88,3595 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-vanilnyj-v-sokoladnoj-glazuri-rozok-12-70g-3958194,
Стаканчики и рожки,"Пломбир Коровка из Кореновки фисташковый в вафельном стаканчике 15%, 80г","Цена109,99 ₽",80 гр,4.88,6653 оценки,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-fistaskovyj-v-vafelnom-stakancike-15-80g-4066639,
Стаканчики и рожки,"Мороженое Чистая линия пломбир без сахарозы с ароматом ванили 12%, 80г","Цена139,99 ₽",80 гр,4.92,1264 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-cistaa-linia-plombir-bez-saharozy-s-aromatom-vanili-12-80g-4347653,
Стаканчики и рожки,"Мороженое Молочный знак Пломбир крем-брюле в вафельном стаканчике 12%, 70г","Цена47,99 ₽",70 гр,4.82,7182 оценки,https://www.perekrestok.ru/cat/321/p/morozenoe-molocnyj-znak-plombir-krem-brule-v-vafelnom-stakancike-12-70g-4289044,
Стаканчики и рожки,"Мороженое Twix Карамель с рисовыми шариками в молочном шоколаде 5%, 68г","Цена174,99 ₽",68 гр,4.84,3462 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-twix-karamel-s-risovymi-sarikami-v-molocnom-sokolade-5-68g-4347188,
Стаканчики и рожки,"Пломбир Чистая Линия ванильный в сахарном вафельном рожке 12%, 110г","Цена179,99 ₽",110 гр,4.87,3507 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-vanilnyj-v-saharnom-vafelnom-rozke-12-110g-4069595,
Стаканчики и рожки,"Мороженое Snickers арахис с карамелью рожок, 6%, 69г","Цена183,99 ₽",69 гр,4.9,1905 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-snickers-arahis-s-karamelu-rozok-6-69g-4346919,
Стаканчики и рожки,"Мороженое Чистая Линия безлактозное Пломбир с ароматом ванили в вафельном стаканчике 12%, 80г","Цена139,99 ₽",80 гр,4.96,492 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-cistaa-linia-bezlaktoznoe-plombir-s-aromatom-vanili-v-vafelnom-stakancike-12-80g-4397369,
Стаканчики и рожки,"Мороженое Maxiduo Вафельный Mix с какао и вафельным соусом с кусочками шоколада 8%, 80г","Цена99,99 ₽",80 гр,4.82,1488 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-maxiduo-vafelnyj-mix-s-kakao-i-vafelnym-sousom-s-kusockami-sokolada-8-80g-4398956,
Стаканчики и рожки,"Мороженое Коровка Из Кореновки пломбир малиновый в печенье Макаронс 15%, 70г","Цена199,99 ₽",70 гр,4.64,603 оценки,https://www.perekrestok.ru/cat/421/p/morozenoe-korovka-iz-korenovki-plombir-malinovyj-v-pecene-makarons-15-70g-4431813,
Стаканчики и рожки,Мороженое Чистая линия пломбир с фисташковой пастой в вафельном рожке 12% 110г,"Цена179,99 ₽",110 гр,4.87,1634 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-cistaa-linia-plombir-s-fistaskovoj-pastoj-v-vafelnom-rozke-12-110g-4315657,
Стаканчики и рожки,"Пломбир 48 Копеек ванильный в глазури с миндалём обжаренным в сахаре рожок 12%, 106г","Цена139,99 ₽",106 гр,4.82,2409 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-48-kopeek-vanilnyj-v-glazuri-s-mindalem-obzarennym-v-sahare-rozok-12-106g-4048090,
Стаканчики и рожки,"Мороженое Bombbar Клубника со сливками молочное-протеиновое с белой шоколадной крошкой 6%, 90г","Цена149,99 ₽",90 гр,4.77,142 оценки,https://www.perekrestok.ru/cat/421/p/morozenoe-bombbar-klubnika-so-slivkami-molocnoe-proteinovoe-s-beloj-sokoladnoj-kroskoj-6-90g-4429414,
Стаканчики и рожки,"Мороженое пломбир солёная карамель 15% Зелёная Линия, 75г","Цена147,99 ₽",75 мл,4.88,4509 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-solenaa-karamel-15-zelenaa-linia-75g-4096147,
Стаканчики и рожки,"Десерт сорбет Малиновый замороженный Зелёная Линия, 75г","Цена169,99 ₽",130 мл,4.84,3054 оценки,https://www.perekrestok.ru/cat/1601/p/desert-sorbet-malinovyj-zamorozennyj-zelenaa-linia-75g-4096150,
Стаканчики и рожки,"Мороженое Sunreme Сливочное Ананас-Грейпфрут со взрывной карамелью в глазированном рожке, 84г","Цена119,99 ₽",84 гр,4.86,56 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-sunreme-slivocnoe-ananas-grejpfrut-so-vzryvnoj-karamelu-v-glazirovannom-rozke-84g-4451080,
Стаканчики и рожки,"Мороженое сливочное клубника со сливками 10% Зелёная Линия, 75г","Цена154,99 ₽",130 мл,4.84,2490 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-klubnika-so-slivkami-10-zelenaa-linia-75g-4096146,
Стаканчики и рожки,"Мороженое сливочное с йогуртом и морошковым мармеладом 8% Зелёная Линия, 75г","Цена119,99 ₽",75 гр,4.67,12 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-slivocnoe-s-jogurtom-i-moroskovym-marmeladom-8-zelenaa-linia-75g-4430482,
Стаканчики и рожки,"Десерт сорбет Манго-груша замороженный Зелёная Линия, 75г","Цена149,99 ₽",130 мл,4.68,2258 оценок,https://www.perekrestok.ru/cat/1601/p/desert-sorbet-mango-grusa-zamorozennyj-zelenaa-linia-75g-4096149,
Стаканчики и рожки,"Пломбир Чистая Линия Радуга ванильный стаканчик 12%, 90г","Цена129,99 ₽",90 гр,4.85,3421 оценка,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-raduga-vanilnyj-stakancik-12-90g-3680631,
Стаканчики и рожки,"Мороженое Мятное с Брауни пломбир 12% Зелёная Линия, 75г","Цена124,99 ₽",75 гр,4.86,21 оценка,https://www.perekrestok.ru/cat/421/p/morozenoe-matnoe-s-brauni-plombir-12-zelenaa-linia-75g-4416089,
Стаканчики и рожки,"Мороженое сливочное ванильное протеиновое 10% Зелёная Линия, 75г","Цена154,99 ₽",75 гр,5,6 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-slivocnoe-vanilnoe-proteinovoe-10-zelenaa-linia-75g-4430484,
Стаканчики и рожки,"Мороженое Жареный Арахис В Карамели сливочное 8% Зелёная Линия, 75г","Цена144,99 ₽",75 гр,4.82,462 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-zarenyj-arahis-v-karameli-slivocnoe-8-zelenaa-linia-75g-4385702,
Стаканчики и рожки,"Мороженое Айскро Финик-миндаль без сахара, 310г","Цена459,99 ₽",310 гр,4.69,377 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-ajskro-finik-mindal-bez-sahara-310g-4377431,
Стаканчики и рожки,"Пломбир Чистая Линия ванильный 12%, 70г","Цена206,99 ₽",70 гр,4.87,1417 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-vanilnyj-12-70g-3975059,
Стаканчики и рожки,"Мороженое пломбир шоколадный с мёдом 12% Зелёная Линия, 75г","Цена164,99 ₽",75 гр,4.8,5 оценок,https://www.perekrestok.ru/cat/284/p/morozenoe-plombir-sokoladnyj-s-medom-12-zelenaa-linia-75g-4430500,
Стаканчики и рожки,"Мороженое Amore кисломолочное греческий йогурт-лесные ягоды, 300мл","Цена739,99 ₽",300 мл,4.7,325 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-amore-kislomolocnoe-greceskij-jogurt-lesnye-agody-300ml-4389421,
Стаканчики и рожки,"Мороженое сливочное Мятное с брауни 10% Зелёная Линия, 75г","Цена139,99 ₽",130 мл,4.84,3145 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-matnoe-s-brauni-10-zelenaa-linia-75g-4096144,
Стаканчики и рожки,"Мороженое Айскро Протеин банан без сахара 2%, 75г","Цена189,99 ₽",75 гр,4.55,211 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-ajskro-protein-banan-bez-sahara-2-75g-4405834,
Эскимо и батончики,"Лёд фруктовый Бон Пари Взрывной ураган со взрывной карамелью 2.9%, 54мл","Цена69,99 ₽",54 мл,4.93,12201 оценка,https://www.perekrestok.ru/cat/1601/p/led-fruktovyj-bon-pari-vzryvnoj-uragan-so-vzryvnoj-karamelu-2-9-54ml-3423233,
Эскимо и батончики,"Лёд фруктовый Бон Пари Арбузик, 67г","Цена69,99 ₽",73 мл,4.88,7437 оценок,https://www.perekrestok.ru/cat/1601/p/led-fruktovyj-bon-pari-arbuzik-67g-4212279,
Эскимо и батончики,"Пломбир Филевская Лакомка в шоколадной глазури 15%, 90г","Цена83,99 ₽",90 гр,4.91,12048 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-filevskaa-lakomka-v-sokoladnoj-glazuri-15-90g-66259,
Эскимо и батончики,"Эскимо Чистая Линия Российское пломбир, 80г","Цена179,99 ₽",80 мл,4.92,5116 оценок,https://www.perekrestok.ru/cat/321/p/eskimo-cistaa-linia-rossijskoe-plombir-80g-2128085,
Эскимо и батончики,"Мороженое Коровка из Кореновки пломбир ванильный в молочной шоколадной глазури 15%, 70г","Цена129,99 ₽",70 гр,4.92,628 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-korovka-iz-korenovki-plombir-vanilnyj-v-molocnoj-sokoladnoj-glazuri-15-70g-4400378,
Эскимо и батончики,"Эскимо пломбир с ванилью в шоколадной сливочной глазури 15% Молочный Знак, 80г","Цена104,99 ₽",80 гр,4.86,2892 оценки,https://www.perekrestok.ru/cat/1601/p/eskimo-plombir-s-vanilu-v-sokoladnoj-slivocnoj-glazuri-15-molocnyj-znak-80g-4311103,
Эскимо и батончики,"Эскимо Чистая Линия пломбир ванильное в апельсиновом соке в глазури 12%, 70г","Цена119,99 ₽",70 гр,4.93,4660 оценок,https://www.perekrestok.ru/cat/1601/p/eskimo-cistaa-linia-plombir-vanilnoe-v-apelsinovom-soke-v-glazuri-12-70g-3650693,
Эскимо и батончики,"Эскимо Milka сливочное ванильное с шоколадным соусом в молочном шоколаде 8%, 62г","Цена161,99 ₽",62 гр,4.92,7043 оценки,https://www.perekrestok.ru/cat/1601/p/eskimo-milka-slivocnoe-vanilnoe-s-sokoladnym-sousom-v-molocnom-sokolade-8-62g-4047712,
Эскимо и батончики,"Мороженое Свитлогорье пломбир эскимо ванильный с арахисом и карамельным наполнителем глазури 15%, 80г","Цена119,99 ₽",80 гр,4.92,2033 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-svitlogore-plombir-eskimo-vanilnyj-s-arahisom-i-karamelnym-napolnitelem-glazuri-15-80g-4278655,
Эскимо и батончики,"Эскимо Свитлогорье пломбир ванильное в глазури 15%, 80г","Цена109,99 ₽",80 гр,4.87,3054 оценки,https://www.perekrestok.ru/cat/1601/p/eskimo-svitlogore-plombir-vanilnoe-v-glazuri-15-80g-3628052,
Эскимо и батончики,"Пломбир Чистая Линия Московская лакомка 12%, 80г","Цена179,99 ₽",75 мл,4.91,3816 оценок,https://www.perekrestok.ru/cat/321/p/plombir-cistaa-linia-moskovskaa-lakomka-12-80g-3334700,
Эскимо и батончики,Мороженое Магнат Шоколадный трюфель эскимо 8% 67г,"Цена164,99 ₽",67 гр,4.93,574 оценки,https://www.perekrestok.ru/cat/421/p/morozenoe-magnat-sokoladnyj-trufel-eskimo-8-67g-4429714,
Эскимо и батончики,"Мороженое сливочное Айсберри Филевская лакомка шоколадное во взбитой глазури 10%, 90г","Цена83,99 ₽",90 гр,4.87,3797 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-ajsberri-filevskaa-lakomka-sokoladnoe-vo-vzbitoj-glazuri-10-90g-3956288,
Эскимо и батончики,"Мороженое Чистая Линия Эскимо пломбир малина-ваниль с рисовыми шариками в глазури, 12%, 70г","Цена159,99 ₽",70 гр,4.83,2857 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-cistaa-linia-eskimo-plombir-malina-vanil-s-risovymi-sarikami-v-glazuri-12-70g-4425166,
Эскимо и батончики,"Мороженое Эkzo молочное с кусочками дыни в замороженной глазури с соком арбуза 2%, 70г","Цена98,99 ₽",70 гр,4.9,991 оценка,https://www.perekrestok.ru/cat/1601/p/morozenoe-ekzo-molocnoe-s-kusockami-dyni-v-zamorozennoj-glazuri-s-sokom-arbuza-2-70g-4284849,
Эскимо и батончики,"Мороженое Чистая линия Спиролло эскимо с шариками с ароматом граната 12%, 70г","Цена158,99 ₽",70 гр,4.77,904 оценки,https://www.perekrestok.ru/cat/421/p/morozenoe-cistaa-linia-spirollo-eskimo-s-sarikami-s-aromatom-granata-12-70g-4433297,
Эскимо и батончики,"Мороженое Свитлогорье пломбир с ароматом ванили в какао-молочной глазури с миндалем 15%, 80г","Цена129,99 ₽",80 гр,4.87,1571 оценка,https://www.perekrestok.ru/cat/1601/p/morozenoe-svitlogore-plombir-s-aromatom-vanili-v-kakao-molocnoj-glazuri-s-mindalem-15-80g-4345012,
Эскимо и батончики,"Мороженое Bombbar со вкусом пломбира на сливках молочное эскимо в шоколаде протеиновое 6%, 70г","Цена143,99 ₽",70 мл,4.87,1082 оценки,https://www.perekrestok.ru/cat/321/p/morozenoe-bombbar-so-vkusom-plombira-na-slivkah-molocnoe-eskimo-v-sokolade-proteinovoe-6-70g-4182508,
Эскимо и батончики,"Мороженое Snickers молочное с карамелью и арахисом, 48г","Цена199,99 ₽",48 гр,4.93,1447 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-snickers-molocnoe-s-karamelu-i-arahisom-48g-6150,
Эскимо и батончики,"Пломбир Чистая Линия Московская лакомка шоколадный, 80г","Цена179,99 ₽",80 гр,4.89,1711 оценок,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-moskovskaa-lakomka-sokoladnyj-80g-2186404,
Эскимо и батончики,"Мороженое Магнат Брюнетка сливочное эскимо в молочном шоколаде грецкий орех-кешью-кукурузные хлопья, 67г","Цена164,99 ₽",67 гр,4.85,279 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-magnat-brunetka-slivocnoe-eskimo-v-molocnom-sokolade-greckij-oreh-kesu-kukuruznye-hlopa-67g-4428941,
Эскимо и батончики,"Мороженое пломбир с ароматом ванили во взбитой шоколадной глазури 15% Молочный Знак, 80г","Цена93,99 ₽",80 гр,4.88,2209 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-plombir-s-aromatom-vanili-vo-vzbitoj-sokoladnoj-glazuri-15-molocnyj-znak-80g-4320862,
Эскимо и батончики,"Мороженое эскимо Snickers молочное с карамелью и арахисом в глазури 5%, 65г","Цена147,99 ₽",75 мл,4.91,2863 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-eskimo-snickers-molocnoe-s-karamelu-i-arahisom-v-glazuri-5-65g-4089670,
Эскимо и батончики,"Эскимо Lotte Мелония двойная дыня 6%, 80г","Цена149,99 ₽",72 мл,4.93,3893 оценки,https://www.perekrestok.ru/cat/1601/p/eskimo-lotte-melonia-dvojnaa-dyna-6-80g-4151679,
Эскимо и батончики,Мороженое Магнат Gold Эскимо сливочное Крем-чиз и соленая карамель 8% БЗМЖ 65г,"Цена209,99 ₽",65 гр,4.91,117 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-magnat-gold-eskimo-slivocnoe-krem-ciz-i-solenaa-karamel-8-bzmz-65g-4428940,
Эскимо и батончики,"Мороженое Bounty молочное с мякотью кокоса и кокосовым молоком в глазури 6%, 60г","Цена170,99 ₽",60 гр,4.86,1406 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-bounty-molocnoe-s-makotu-kokosa-i-kokosovym-molokom-v-glazuri-6-60g-4395609,
Эскимо и батончики,"Мороженое Коровка Из Кореновки пломбир фисташковый с катаифи 15%, 70г","Цена199,99 ₽",70 гр,4.83,181 оценка,https://www.perekrestok.ru/cat/421/p/morozenoe-korovka-iz-korenovki-plombir-fistaskovyj-s-kataifi-15-70g-4431812,
Эскимо и батончики,"Мороженое Чистая Линия Эскимо с рисовыми шариками в глазури 12%, 70г","Цена159,99 ₽",70 гр,4.82,1347 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-cistaa-linia-eskimo-s-risovymi-sarikami-v-glazuri-12-70g-4425165,
Эскимо и батончики,"Мороженое Aice Ананас эскимо, 65г","Цена79,99 ₽",65 гр,4.6,144 оценки,https://www.perekrestok.ru/cat/321/p/morozenoe-aice-ananas-eskimo-65g-4390434,
Эскимо и батончики,"Мороженое молочное Эkzo Драгонфрут-гуанабана карамбола-ната де коко 2%, 70г","Цена99,99 ₽",70 гр,4.86,1972 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-molocnoe-ekzo-dragonfrut-guanabana-karambola-nata-de-koko-2-70g-4041767,
Эскимо и батончики,"Десерт Binggrae Melona спелая дынька замороженный, 75г","Цена119,99 ₽",70 мл,4.93,1583 оценки,https://www.perekrestok.ru/cat/1601/p/desert-binggrae-melona-spelaa-dynka-zamorozennyj-75g-4151682,
Эскимо и батончики,"Мороженое Чистая Линия Сладкая Малина Эскимо пломбир с ароматом ванили с малиновым наполнителем в глазури с ароматом малины и кусочками малины 12%, 62г","Цена154,99 ₽",62 гр,4.93,28 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-cistaa-linia-sladkaa-malina-eskimo-plombir-s-aromatom-vanili-s-malinovym-napolnitelem-v-glazuri-s-aromatom-maliny-i-kusockami-maliny-12-62g-4449723,
Эскимо и батончики,"Эскимо Свитлогорье пломбир ванильное в глазури 15%, 80г","Цена119,99 ₽",80 гр,4.9,3411 оценок,https://www.perekrestok.ru/cat/1601/p/eskimo-svitlogore-plombir-vanilnoe-v-glazuri-15-80g-3698147,
Эскимо и батончики,"Десерт Seoju Эскимо со вкусом мяты замороженный, 70г","Цена135,99 ₽",70 гр,4.69,681 оценка,https://www.perekrestok.ru/cat/321/p/desert-seoju-eskimo-so-vkusom-maty-zamorozennyj-70g-4248463,
Эскимо и батончики,"Десерт Lotte Эскимо арбуз замороженный, 80г","Цена119,99 ₽",72 мл,4.76,933 оценки,https://www.perekrestok.ru/cat/1601/p/desert-lotte-eskimo-arbuz-zamorozennyj-80g-4151681,
Эскимо и батончики,"Мороженое сливочное Milka Лесные ягоды 8%, 64г","Цена161,99 ₽",64 гр,4.89,2986 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-milka-lesnye-agody-8-64g-4212277,
Эскимо и батончики,"Мороженое Чистая линия Любимая Клубника Эскимо пломбир с ароматом ванили с клубничным наполнителем в глазури с ароматом лимона и кусочками клубники 12%, 62г","Цена154,99 ₽",62 гр,4.83,18 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-cistaa-linia-lubimaa-klubnika-eskimo-plombir-s-aromatom-vanili-s-klubnicnym-napolnitelem-v-glazuri-s-aromatom-limona-i-kusockami-klubniki-12-62g-4449725,
Эскимо и батончики,"Мороженое Свитлогорье Эскимо пломбир с ароматом ванили с драже Неон и взрывной карамелью в глазури Бабл Гам фиолетовой 12%, 80г","Цена144,99 ₽",80 гр,4.93,15 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-svitlogore-eskimo-plombir-s-aromatom-vanili-s-draze-neon-i-vzryvnoj-karamelu-v-glazuri-babl-gam-fioletovoj-12-80g-4451480,
Эскимо и батончики,"Десерт Binggrae Melona банан замороженный, 75г","Цена119,99 ₽",70 мл,4.84,1002 оценки,https://www.perekrestok.ru/cat/321/p/desert-binggrae-melona-banan-zamorozennyj-75g-4151683,
Эскимо и батончики,"Эскимо Oreo сливочное с дробленым печеньем в глазури 8%, 56г","Цена120,99 ₽",56 гр,4.84,287 оценок,https://www.perekrestok.ru/cat/321/p/eskimo-oreo-slivocnoe-s-droblenym-pecenem-v-glazuri-8-56g-4051277,
Эскимо и батончики,"Мороженое Lotte Крутой бар со вкусом клубники и яблока, 80г","Цена175,99 ₽",80 гр,4.89,471 оценка,https://www.perekrestok.ru/cat/1601/p/morozenoe-lotte-krutoj-bar-so-vkusom-klubniki-i-abloka-80g-4248452,
Эскимо и батончики,"Мороженое Bombbar Эскимо молочное шоколадное со вкусом Шоколадный брауни протеиновое 6%, 70г","Цена164,99 ₽",70 гр,5,7 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-bombbar-eskimo-molocnoe-sokoladnoe-so-vkusom-sokoladnyj-brauni-proteinovoe-6-70g-4398401,
Эскимо и батончики,"Десерт Seoju Эскимо молочный чай замороженный, 65г","Цена135,99 ₽",65 гр,4.67,777 оценок,https://www.perekrestok.ru/cat/321/p/desert-seoju-eskimo-molocnyj-caj-zamorozennyj-65g-4248465,
Эскимо и батончики,"Мороженое Snaq Fabriq Эскимо пломбир с миндалём в шоколаде, 70г","Цена134,99 ₽",70 гр,4.76,1199 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-snaq-fabriq-eskimo-plombir-s-mindalem-v-sokolade-70g-4377376,
Эскимо и батончики,"Мороженое Lotte Мелония Двойная Клубника эскимо 1,6%, 75г","Цена119,99 ₽",75 гр,4.84,311 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-lotte-melonia-dvojnaa-klubnika-eskimo-1-6-75g-4365374,
Эскимо и батончики,"Мороженое Bounty молочное с мякотью кокоса в глазури, 39.1г","Цена199,99 ₽",39 гр,4.89,103 оценки,https://www.perekrestok.ru/cat/321/p/morozenoe-bounty-molocnoe-s-makotu-kokosa-v-glazuri-39-1g-4418872,
Эскимо и батончики,"Мороженое Aice Хрустящие Шарики, 60г","Цена149,99 ₽",60 гр,4.68,40 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-aice-hrustasie-sariki-60g-4437407,
Эскимо и батончики,"Лёд сладкий Paleta Маракуйя, манго и семена чиа, 70г","Цена249,99 ₽",70 гр,4.89,248 оценок,https://www.perekrestok.ru/cat/1601/p/led-sladkij-paleta-marakuja-mango-i-semena-cia-70g-4070258,
Эскимо и батончики,"Сорбет Amore из маракуйи, 100мл","Цена158,99 ₽",100 мл,4.81,1141 оценка,https://www.perekrestok.ru/cat/1601/p/sorbet-amore-iz-marakuji-100ml-4267868,
Эскимо и батончики,"Мороженое Свитлогорье Эскимо Пломбир с ароматом ванили и наполнителем Апельсин в цветной глазури со вкусом апельсина 12%, 65г","Цена129,99 ₽",65 гр,5,9 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-svitlogore-eskimo-plombir-s-aromatom-vanili-i-napolnitelem-apelsin-v-cvetnoj-glazuri-so-vkusom-apelsina-12-65g-4449764,
Эскимо и батончики,"Мороженое Snaq Fabriq Эскимо пломбир с тестом катаифи и фисташкой в шоколаде 12%, 80г","Цена219,99 ₽",80 гр,4.72,151 оценка,https://www.perekrestok.ru/cat/321/p/morozenoe-snaq-fabriq-eskimo-plombir-s-testom-kataifi-i-fistaskoj-v-sokolade-12-80g-4420735,
Эскимо и батончики,"Эскимо Чистая Линия Малиновый кактус пломбир ванильный в глазури 12%, 80г","Цена215,99 ₽",80 гр,4.87,3026 оценок,https://www.perekrestok.ru/cat/1601/p/eskimo-cistaa-linia-malinovyj-kaktus-plombir-vanilnyj-v-glazuri-12-80g-4085329,
Эскимо и батончики,"Мороженое Bounty Молочное с мякотью кокоса кокосовым молоком и фруктовым наполнителем с личи в малиновой глазури 6.5%, 64г","Цена179,99 ₽",70 мл,4.7,10 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-bounty-molocnoe-s-makotu-kokosa-kokosovym-molokom-i-fruktovym-napolnitelem-s-lici-v-malinovoj-glazuri-6-5-64g-4450222,
Эскимо и батончики,"Мороженое Binggrae Мелона фисташка 3.31%, 70г","Цена230,99 ₽",70 гр,4.63,169 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-binggrae-melona-fistaska-3-31-70g-4408949,
Эскимо и батончики,"Эскимо Alpen Gold сливочное с какао в молочном шоколаде двухслойное, 58г","Цена164,99 ₽",58 гр,4.89,2560 оценок,https://www.perekrestok.ru/cat/1601/p/eskimo-alpen-gold-slivocnoe-s-kakao-v-molocnom-sokolade-dvuhslojnoe-58g-4020807,
Эскимо и батончики,"Мороженое Ferrero Rocher Ice Cream со вкусом лесного ореха, 50г","Цена349,99 ₽",70 мл,4.87,31 оценка,https://www.perekrestok.ru/cat/421/p/morozenoe-ferrero-rocher-ice-cream-so-vkusom-lesnogo-oreha-50g-4426072,
Эскимо и батончики,"Эскимо Lotte Zero шоколадное 2%, 67г","Цена289,99 ₽",67 гр,4.55,78 оценок,https://www.perekrestok.ru/cat/321/p/eskimo-lotte-zero-sokoladnoe-2-67g-4372282,
Эскимо и батончики,"Десерт замороженный Итальянское мороженое Стекоблоко, 65г","Цена249,99 ₽",65 гр,4.71,125 оценок,https://www.perekrestok.ru/cat/1601/p/desert-zamorozennyj-italanskoe-morozenoe-stekobloko-65g-4375391,
Эскимо и батончики,"Мороженое Bounty Сочный манго молочное с мякотью кокоса 6.5%, 64г","Цена209,99 ₽",70 мл,4.73,288 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-bounty-socnyj-mango-molocnoe-s-makotu-kokosa-6-5-64g-4416072,
Эскимо и батончики,"Десерт замороженный Итальянское мороженое Груви Арахис, 240г","Цена1 078,99 ₽",240 гр,4.63,83 оценки,https://www.perekrestok.ru/cat/321/p/desert-zamorozennyj-italanskoe-morozenoe-gruvi-arahis-240g-4375384,
Эскимо и батончики,"Мороженое Daity Мускатная дынька ролл эскимо 2.2%, 75г","Цена149,99 ₽",75 гр,4.86,28 оценок,https://www.perekrestok.ru/cat/421/p/morozenoe-daity-muskatnaa-dynka-roll-eskimo-2-2-75g-4421783,
